year,race_name,circuit,country,attendance_weekend,source,notes
2022,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,277836,GPDestinations (citing official),
2022,Miami Grand Prix,Miami International Autodrome,USA,242955,GPDestinations / F1 Press Release,Inaugural Miami GP
2022,Brazilian Grand Prix,Interlagos,Brazil,236000,GPDestinations (citing official),
2022,Japanese Grand Prix,Suzuka,Japan,200000,GPDestinations (citing official),
2022,French Grand Prix,Circuit Paul Ricard,France,200000,GPDestinations (citing official),
2022,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,160000,GPDestinations (citing official),
2022,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,98000,GPDestinations (citing official),
2023,British Grand Prix,Silverstone,UK,480000,GPDestinations / Silverstone Circuit,Best-attended race of 2023
2023,United States Grand Prix,Circuit of the Americas,USA,432000,GPDestinations / COTA,
2023,Australian Grand Prix,Albert Park,Australia,444631,GPDestinations / AGP Corporation,All-time Albert Park record
2023,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,400639,GPDestinations (citing official),First time Mexico exceeded 400K
2023,Belgian Grand Prix,Spa-Francorchamps,Belgium,380000,GPDestinations (citing official),
2023,Las Vegas Grand Prix,Las Vegas Strip Circuit,USA,315000,GPDestinations / F1 Press Release,Inaugural Las Vegas GP
2023,Dutch Grand Prix,Circuit Zandvoort,Netherlands,305000,GPDestinations / Zandvoort Circuit,Sold out
2023,Austrian Grand Prix,Red Bull Ring,Austria,304000,GPDestinations (citing official),
2023,Italian Grand Prix,Monza,Italy,304135,GPDestinations (citing official),
2023,Hungarian Grand Prix,Hungaroring,Hungary,303000,GPDestinations (citing official),
2023,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,345000,GPDestinations (citing official),
2023,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,284066,GPDestinations (citing official),
2023,Miami Grand Prix,Miami International Autodrome,USA,270491,GPDestinations / F1 Press Release,
2023,Sao Paulo Grand Prix,Interlagos,Brazil,267000,GPDestinations (citing official),
2023,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,264108,GPDestinations / Singapore Tourism Board,
2023,Japanese Grand Prix,Suzuka,Japan,222000,GPDestinations (citing official),
2023,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Saudi Arabia,150000,GPDestinations (citing official),
2023,Qatar Grand Prix,Lusail Circuit,Qatar,120000,GPDestinations (citing official),
2023,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,99500,GPDestinations (citing official),
2024,British Grand Prix,Silverstone,UK,480000,GPDestinations / FOM 2024 season review,Matched 2023 record
2024,Australian Grand Prix,Albert Park,Australia,452055,GPDestinations / FOM 2024 season review,New all-time Albert Park record
2024,United States Grand Prix,Circuit of the Americas,USA,430000,GPDestinations / FOM 2024 season review,
2024,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,404958,GPDestinations / FOM 2024 season review,
2024,Belgian Grand Prix,Spa-Francorchamps,Belgium,380000,GPDestinations / FOM 2024 season review,
2024,Hungarian Grand Prix,Hungaroring,Hungary,310000,GPDestinations / FOM 2024 season review,
2024,Las Vegas Grand Prix,Las Vegas Strip Circuit,USA,306000,GPDestinations / FOM 2024 season review,
2024,Dutch Grand Prix,Circuit Zandvoort,Netherlands,305000,GPDestinations / FOM 2024 season review,Sold out
2024,Austrian Grand Prix,Red Bull Ring,Austria,302000,GPDestinations / FOM 2024 season review,
2024,Sao Paulo Grand Prix,Interlagos,Brazil,291717,GPDestinations / FOM 2024 season review,
2024,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,297368,GPDestinations / FOM 2024 season review,
2024,Italian Grand Prix,Monza,Italy,335000,GPDestinations / FOM 2024 season review,
2024,Miami Grand Prix,Miami International Autodrome,USA,275000,GPDestinations / FOM 2024 season review,
2024,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,269072,GPDestinations / FOM 2024 season review,
2024,Japanese Grand Prix,Suzuka,Japan,229000,GPDestinations / FOM 2024 season review,
2024,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,350000,GPDestinations / FOM 2024 season review,
2024,Chinese Grand Prix,Shanghai International Circuit,China,200000,GPDestinations / FOM 2024 season review,Return after COVID absence
2024,Emilia Romagna Grand Prix,Imola,Italy,200000,GPDestinations / FOM 2024 season review,
2024,Qatar Grand Prix,Lusail Circuit,Qatar,154973,GPDestinations / FOM 2024 season review,
2024,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,192000,GPDestinations / FOM 2024 season review,
2024,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,100000,GPDestinations / FOM 2024 season review,
2024,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,76000,GPDestinations / FOM 2024 season review,
2025,British Grand Prix,Silverstone,UK,500000,GPDestinations / FOM 2025 season review,Record-breaking; largest F1 crowd in 30 years. Race day 168K — highest single-session since 2000 US GP.
2025,Australian Grand Prix,Albert Park,Australia,465498,GPDestinations / AGP Corporation,New all-time Albert Park record.
2025,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,401326,GPDestinations / FOM 2025 season review,
2025,Belgian Grand Prix,Spa-Francorchamps,Belgium,389000,GPDestinations / FOM 2025 season review,
2025,Italian Grand Prix,Monza,Italy,370000,GPDestinations / FOM 2025 season review,
2025,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,352000,GPDestinations / FOM 2025 season review,
2025,Dutch Grand Prix,Circuit Zandvoort,Netherlands,305000,GPDestinations / Zandvoort Circuit,Sold out
2025,Sao Paulo Grand Prix,Interlagos,Brazil,304000,GPDestinations / FOM 2025 season review,
2025,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,300641,GPDestinations / Singapore Tourism Board,
2025,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,300286,GPDestinations / FOM 2025 season review,
2025,Austrian Grand Prix,Red Bull Ring,Austria,300000,GPDestinations / FOM 2025 season review,
2025,Hungarian Grand Prix,Hungaroring,Hungary,300000,GPDestinations / FOM 2025 season review,
2025,Miami Grand Prix,Miami International Autodrome,USA,275000,GPDestinations / F1 Press Release,
2025,Japanese Grand Prix,Suzuka,Japan,266000,GPDestinations / FOM 2025 season review,
2025,Monaco Grand Prix,Circuit de Monaco,Monaco,250000,GPDestinations (citing official),
2025,Emilia Romagna Grand Prix,Imola,Italy,242000,GPDestinations / FOM 2025 season review,
2025,Chinese Grand Prix,Shanghai International Circuit,China,220000,GPDestinations / FOM 2025 season review,
2025,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,203000,GPDestinations / FOM 2025 season review,
2025,Qatar Grand Prix,Lusail Circuit,Qatar,162972,GPDestinations / FOM 2025 season review,
2025,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,105000,GPDestinations / FOM 2025 season review,
